LCZ class,Count,Avg. area (km2),Total area (km2),Perimeter (km),Shape,Vertices
2,3,0.07196460416393495,0.21589381249180484,0.9400442923995679,1.4987676467787416,7.0
3,3,0.0056428250369859,0.0169284751109577,0.3498536811465653,2.0232245005574003,4.666666666666667
4,3,0.01130699870273749,0.03392099610821247,0.454906351942441,1.4838066285590175,4.666666666666667
5,3,0.01322705030598674,0.03968115091796022,0.47713515206866547,1.380697260265175,4.0
6,3,0.022916703327641896,0.06875010998292569,0.6623441815427015,1.6497336649810446,4.0
8,3,0.053106666930013945,0.15932000079004183,0.9680674405816369,1.440737120540786,4.666666666666667
9,5,0.04776267203739144,0.23881336018695723,0.9475220882856196,1.5581087258861925,4.2
10,3,0.0828458332132286,0.24853749963968577,1.3794146349839551,1.9307561194615566,4.666666666666667
11,3,0.14265653866236447,0.42796961598709343,1.5557126882964203,1.7775064458629266,13.0
12,6,0.09914478627958796,0.5948687176775278,1.1601343856701078,1.3833946867206899,4.333333333333333
14,3,0.03244547079636238,0.09733641238908715,0.8262046391756722,1.6950745921379164,4.0
15,3,0.0014435697217264178,0.004330709165179253,0.19005478551983715,2.0514278154024996,6.666666666666667
16,3,0.0609589504154966,0.1828768512464898,1.1477819681337798,1.8378783558028102,9.666666666666666
17,4,0.17218480054731874,0.688739202189275,2.0110501828439697,2.0013955969791617,4.0
